Date_pool_elev_m,Pool_elev,Pool_elev,Pool_elev,Pool_elev,Pool_elev,Pool_elev,Pool_elev,Pool_elev,Pool_elev,Pool_elev
-10,441,450,451,455,457,460,462,466,470,470
1,28,152,170,183,187,196,205,217,227,227
32,28,152,170,183,187,196,205,217,227,227
45,28,28,41,85,124,196,205,217,227,227
59,28,28,28,28,28,115,205,217,227,227
60,37,37,37,37,37,102,170,217,227,227
74,37,37,37,37,37,37,113,217,227,227
90,37,37,37,37,37,37,37,141,227,227
91,51,51,51,49,48,47,51,148,227,227
134,51,51,51,49,48,47,45,44,51,227
243,51,51,51,49,48,47,45,44,51,227
259,51,51,51,49,48,47,45,51,212,227
274,51,51,51,49,48,47,51,148,227,227
288,51,51,51,49,48,51,121,217,227,227
304,51,51,51,51,102,196,205,217,227,227
319,51,51,51,152,187,196,205,217,227,227
334,51,152,170,183,187,196,205,217,227,227
335,28,152,170,183,187,196,205,217,227,227
365,28,152,170,183,187,196,205,217,227,227
